mix_path,first_speaker_path,second_speaker_path,duration
train\4cda1ebc580e4a3dbf053878c2604e7c\mix_audio.wav,train\4cda1ebc580e4a3dbf053878c2604e7c\first_speaker.wav,train\4cda1ebc580e4a3dbf053878c2604e7c\second_speaker.wav,18.0
train\70f0b0237be742c89890312d84b62d2a\mix_audio.wav,train\70f0b0237be742c89890312d84b62d2a\first_speaker.wav,train\70f0b0237be742c89890312d84b62d2a\second_speaker.wav,15.0
train\8dd1e6aff7fe4299aed725f9bf674258\mix_audio.wav,train\8dd1e6aff7fe4299aed725f9bf674258\first_speaker.wav,train\8dd1e6aff7fe4299aed725f9bf674258\second_speaker.wav,18.0
train\3310552a6da5499a86bded48b66cccd4\mix_audio.wav,train\3310552a6da5499a86bded48b66cccd4\first_speaker.wav,train\3310552a6da5499a86bded48b66cccd4\second_speaker.wav,16.0
train\011fb596e13044ab8567e5e566250b0d\mix_audio.wav,train\011fb596e13044ab8567e5e566250b0d\first_speaker.wav,train\011fb596e13044ab8567e5e566250b0d\second_speaker.wav,16.0
train\5ad4b616d271440581f8934661dc1619\mix_audio.wav,train\5ad4b616d271440581f8934661dc1619\first_speaker.wav,train\5ad4b616d271440581f8934661dc1619\second_speaker.wav,18.0
train\9fb6b5ad2db94504bb8c3ef23e7c994a\mix_audio.wav,train\9fb6b5ad2db94504bb8c3ef23e7c994a\first_speaker.wav,train\9fb6b5ad2db94504bb8c3ef23e7c994a\second_speaker.wav,20.0
train\a28d55544ce040468972a3558c293b40\mix_audio.wav,train\a28d55544ce040468972a3558c293b40\first_speaker.wav,train\a28d55544ce040468972a3558c293b40\second_speaker.wav,16.0
train\e727afb7eba840b4929fa1b7010432c1\mix_audio.wav,train\e727afb7eba840b4929fa1b7010432c1\first_speaker.wav,train\e727afb7eba840b4929fa1b7010432c1\second_speaker.wav,17.0
train\bb7b21734243404ba3a3ded6bd699489\mix_audio.wav,train\bb7b21734243404ba3a3ded6bd699489\first_speaker.wav,train\bb7b21734243404ba3a3ded6bd699489\second_speaker.wav,15.0
train\3b2124f5f3cc4b728e48fb86edd57dc8\mix_audio.wav,train\3b2124f5f3cc4b728e48fb86edd57dc8\first_speaker.wav,train\3b2124f5f3cc4b728e48fb86edd57dc8\second_speaker.wav,17.0
train\88932e409d6d4c46888e9a3c67998e3b\mix_audio.wav,train\88932e409d6d4c46888e9a3c67998e3b\first_speaker.wav,train\88932e409d6d4c46888e9a3c67998e3b\second_speaker.wav,19.0
train\a06681681051484ba4781be40ea009fb\mix_audio.wav,train\a06681681051484ba4781be40ea009fb\first_speaker.wav,train\a06681681051484ba4781be40ea009fb\second_speaker.wav,19.0
train\9f1696d5a9824cbabf6a3f249083d4f4\mix_audio.wav,train\9f1696d5a9824cbabf6a3f249083d4f4\first_speaker.wav,train\9f1696d5a9824cbabf6a3f249083d4f4\second_speaker.wav,16.0
train\e3d6686cbc384bbd9c251adfdeafbb1a\mix_audio.wav,train\e3d6686cbc384bbd9c251adfdeafbb1a\first_speaker.wav,train\e3d6686cbc384bbd9c251adfdeafbb1a\second_speaker.wav,15.0
train\21701062ce584a4fa92663cb62f9b960\mix_audio.wav,train\21701062ce584a4fa92663cb62f9b960\first_speaker.wav,train\21701062ce584a4fa92663cb62f9b960\second_speaker.wav,16.0
train\09ede334feb141f0bca6b501756bbc24\mix_audio.wav,train\09ede334feb141f0bca6b501756bbc24\first_speaker.wav,train\09ede334feb141f0bca6b501756bbc24\second_speaker.wav,15.0
train\0bb46aeab188455dbe991db979899b45\mix_audio.wav,train\0bb46aeab188455dbe991db979899b45\first_speaker.wav,train\0bb46aeab188455dbe991db979899b45\second_speaker.wav,18.0
train\e1466fe77a7e4b5fa7643c8c16530a6e\mix_audio.wav,train\e1466fe77a7e4b5fa7643c8c16530a6e\first_speaker.wav,train\e1466fe77a7e4b5fa7643c8c16530a6e\second_speaker.wav,15.0
train\d5a14a0d35664b8eb9ed6fd579b040b0\mix_audio.wav,train\d5a14a0d35664b8eb9ed6fd579b040b0\first_speaker.wav,train\d5a14a0d35664b8eb9ed6fd579b040b0\second_speaker.wav,19.0
train\47b886e67258497d9dfc0f0428dd3ce8\mix_audio.wav,train\47b886e67258497d9dfc0f0428dd3ce8\first_speaker.wav,train\47b886e67258497d9dfc0f0428dd3ce8\second_speaker.wav,20.0
train\f0c9f10df02046dc947581da4be45d63\mix_audio.wav,train\f0c9f10df02046dc947581da4be45d63\first_speaker.wav,train\f0c9f10df02046dc947581da4be45d63\second_speaker.wav,17.0
train\6b331002bed5429cb544d101d037bdb1\mix_audio.wav,train\6b331002bed5429cb544d101d037bdb1\first_speaker.wav,train\6b331002bed5429cb544d101d037bdb1\second_speaker.wav,17.0
train\6aac633bbe3e4af999af1573b0fbfba5\mix_audio.wav,train\6aac633bbe3e4af999af1573b0fbfba5\first_speaker.wav,train\6aac633bbe3e4af999af1573b0fbfba5\second_speaker.wav,17.0
train\a0e0dea5f1a54f71bac61db4c10c0133\mix_audio.wav,train\a0e0dea5f1a54f71bac61db4c10c0133\first_speaker.wav,train\a0e0dea5f1a54f71bac61db4c10c0133\second_speaker.wav,15.0
train\b47dce79102b412391c8f20c4fb737ae\mix_audio.wav,train\b47dce79102b412391c8f20c4fb737ae\first_speaker.wav,train\b47dce79102b412391c8f20c4fb737ae\second_speaker.wav,18.0
train\25d59f645e294fe2bd1469b323ffe9b1\mix_audio.wav,train\25d59f645e294fe2bd1469b323ffe9b1\first_speaker.wav,train\25d59f645e294fe2bd1469b323ffe9b1\second_speaker.wav,16.0
train\0463b2fdc49540a38aa054322e5f4d6d\mix_audio.wav,train\0463b2fdc49540a38aa054322e5f4d6d\first_speaker.wav,train\0463b2fdc49540a38aa054322e5f4d6d\second_speaker.wav,20.0
train\6a5ead9bda324398810d38ef7848fd12\mix_audio.wav,train\6a5ead9bda324398810d38ef7848fd12\first_speaker.wav,train\6a5ead9bda324398810d38ef7848fd12\second_speaker.wav,17.0
train\c455d7861a5043b4b687ee1e541e16c5\mix_audio.wav,train\c455d7861a5043b4b687ee1e541e16c5\first_speaker.wav,train\c455d7861a5043b4b687ee1e541e16c5\second_speaker.wav,16.0
train\81a2dcb5b45249ab86bbd33d77a1478f\mix_audio.wav,train\81a2dcb5b45249ab86bbd33d77a1478f\first_speaker.wav,train\81a2dcb5b45249ab86bbd33d77a1478f\second_speaker.wav,18.0
train\cfd47245ad734e6ea98990231903133c\mix_audio.wav,train\cfd47245ad734e6ea98990231903133c\first_speaker.wav,train\cfd47245ad734e6ea98990231903133c\second_speaker.wav,17.0
train\7a1135cc3fc5451ab1dc226a8c1238af\mix_audio.wav,train\7a1135cc3fc5451ab1dc226a8c1238af\first_speaker.wav,train\7a1135cc3fc5451ab1dc226a8c1238af\second_speaker.wav,16.0
train\f24ae3353c444c528788d12be6f07420\mix_audio.wav,train\f24ae3353c444c528788d12be6f07420\first_speaker.wav,train\f24ae3353c444c528788d12be6f07420\second_speaker.wav,16.0
train\541bbc8d6107442781b2904e4ed5433e\mix_audio.wav,train\541bbc8d6107442781b2904e4ed5433e\first_speaker.wav,train\541bbc8d6107442781b2904e4ed5433e\second_speaker.wav,19.0
train\160dd38081d348dd9d69dc37fafdd10a\mix_audio.wav,train\160dd38081d348dd9d69dc37fafdd10a\first_speaker.wav,train\160dd38081d348dd9d69dc37fafdd10a\second_speaker.wav,19.0
train\dee5e62a4f7c447ba92c272c4b2aabe1\mix_audio.wav,train\dee5e62a4f7c447ba92c272c4b2aabe1\first_speaker.wav,train\dee5e62a4f7c447ba92c272c4b2aabe1\second_speaker.wav,18.0
train\f39c426bfc7d4b2484d5d19cc08f7eb0\mix_audio.wav,train\f39c426bfc7d4b2484d5d19cc08f7eb0\first_speaker.wav,train\f39c426bfc7d4b2484d5d19cc08f7eb0\second_speaker.wav,18.0
train\bee61f85cec94836967cdbe33208b438\mix_audio.wav,train\bee61f85cec94836967cdbe33208b438\first_speaker.wav,train\bee61f85cec94836967cdbe33208b438\second_speaker.wav,17.0
train\218366650b744c6ba8d1232862dd9168\mix_audio.wav,train\218366650b744c6ba8d1232862dd9168\first_speaker.wav,train\218366650b744c6ba8d1232862dd9168\second_speaker.wav,16.0
train\43011effcfeb4cecbb5e6971d482bf3f\mix_audio.wav,train\43011effcfeb4cecbb5e6971d482bf3f\first_speaker.wav,train\43011effcfeb4cecbb5e6971d482bf3f\second_speaker.wav,16.0
train\e227b22d2826485cabb13fbc8c37c428\mix_audio.wav,train\e227b22d2826485cabb13fbc8c37c428\first_speaker.wav,train\e227b22d2826485cabb13fbc8c37c428\second_speaker.wav,17.0
