mix_path,voice_path,noise_path,duration
train\mix\0006f9c421ef408ab5fd5a4aa41e8fee\mix.wav,train\source\0006f9c421ef408ab5fd5a4aa41e8fee\1.wav,train\source\0006f9c421ef408ab5fd5a4aa41e8fee\2.wav,15.0
train\mix\00a38fa379b8423192eb11a142a6018e\mix.wav,train\source\00a38fa379b8423192eb11a142a6018e\1.wav,train\source\00a38fa379b8423192eb11a142a6018e\2.wav,15.0
train\mix\00a9062c28ec46ac8c39452007a850f8\mix.wav,train\source\00a9062c28ec46ac8c39452007a850f8\1.wav,train\source\00a9062c28ec46ac8c39452007a850f8\2.wav,15.0
train\mix\00ac38d7e579480f83b3adfae1926f9c\mix.wav,train\source\00ac38d7e579480f83b3adfae1926f9c\1.wav,train\source\00ac38d7e579480f83b3adfae1926f9c\2.wav,15.0
train\mix\00f17f6ef7234254a9456f83321a54b4\mix.wav,train\source\00f17f6ef7234254a9456f83321a54b4\1.wav,train\source\00f17f6ef7234254a9456f83321a54b4\2.wav,15.0
train\mix\01144120054a4614b81dc5cdfc7ef289\mix.wav,train\source\01144120054a4614b81dc5cdfc7ef289\1.wav,train\source\01144120054a4614b81dc5cdfc7ef289\2.wav,15.0
train\mix\013758ff64184b0786c375e4fe06d2ec\mix.wav,train\source\013758ff64184b0786c375e4fe06d2ec\1.wav,train\source\013758ff64184b0786c375e4fe06d2ec\2.wav,15.0
train\mix\0138c0942f7e4941b03e6830f337a215\mix.wav,train\source\0138c0942f7e4941b03e6830f337a215\1.wav,train\source\0138c0942f7e4941b03e6830f337a215\2.wav,15.0
train\mix\01eb66dcc4814779b9300da183d3a42f\mix.wav,train\source\01eb66dcc4814779b9300da183d3a42f\1.wav,train\source\01eb66dcc4814779b9300da183d3a42f\2.wav,15.0
train\mix\0218d41275354b448a81f189be99d321\mix.wav,train\source\0218d41275354b448a81f189be99d321\1.wav,train\source\0218d41275354b448a81f189be99d321\2.wav,15.0
train\mix\0225a72f11d14586bb2d174c07124434\mix.wav,train\source\0225a72f11d14586bb2d174c07124434\1.wav,train\source\0225a72f11d14586bb2d174c07124434\2.wav,15.0
train\mix\029f1b534d524a748ab88a907e03b733\mix.wav,train\source\029f1b534d524a748ab88a907e03b733\1.wav,train\source\029f1b534d524a748ab88a907e03b733\2.wav,15.0
train\mix\02ab58b2822e48d284c7f5095e2f9005\mix.wav,train\source\02ab58b2822e48d284c7f5095e2f9005\1.wav,train\source\02ab58b2822e48d284c7f5095e2f9005\2.wav,15.0
train\mix\03804cb72c8b4975b33f1a5ff324f04e\mix.wav,train\source\03804cb72c8b4975b33f1a5ff324f04e\1.wav,train\source\03804cb72c8b4975b33f1a5ff324f04e\2.wav,15.0
train\mix\03892d02576f4c288b3539803d6d3e69\mix.wav,train\source\03892d02576f4c288b3539803d6d3e69\1.wav,train\source\03892d02576f4c288b3539803d6d3e69\2.wav,15.0
train\mix\0429bf22854c44ce90582000c13ec849\mix.wav,train\source\0429bf22854c44ce90582000c13ec849\1.wav,train\source\0429bf22854c44ce90582000c13ec849\2.wav,15.0
train\mix\04673e31f5ba45b78e3f0386b8478b6d\mix.wav,train\source\04673e31f5ba45b78e3f0386b8478b6d\1.wav,train\source\04673e31f5ba45b78e3f0386b8478b6d\2.wav,15.0
train\mix\0472471591fa4f32822c1995c5b1a344\mix.wav,train\source\0472471591fa4f32822c1995c5b1a344\1.wav,train\source\0472471591fa4f32822c1995c5b1a344\2.wav,15.0
train\mix\048019c3fe7946c68a5c0efcce8fa3da\mix.wav,train\source\048019c3fe7946c68a5c0efcce8fa3da\1.wav,train\source\048019c3fe7946c68a5c0efcce8fa3da\2.wav,15.0
train\mix\04aa3454147449ecb161a736501f2258\mix.wav,train\source\04aa3454147449ecb161a736501f2258\1.wav,train\source\04aa3454147449ecb161a736501f2258\2.wav,15.0
train\mix\0511c54487484fc4b8258205384046ab\mix.wav,train\source\0511c54487484fc4b8258205384046ab\1.wav,train\source\0511c54487484fc4b8258205384046ab\2.wav,15.0
train\mix\053e3559705f4beeaa7314d0bcfab79e\mix.wav,train\source\053e3559705f4beeaa7314d0bcfab79e\1.wav,train\source\053e3559705f4beeaa7314d0bcfab79e\2.wav,15.0
train\mix\0610d8fcae514a588a4800fa55c82e93\mix.wav,train\source\0610d8fcae514a588a4800fa55c82e93\1.wav,train\source\0610d8fcae514a588a4800fa55c82e93\2.wav,15.0
train\mix\06bbc58c9a844278b4d125b0342d3008\mix.wav,train\source\06bbc58c9a844278b4d125b0342d3008\1.wav,train\source\06bbc58c9a844278b4d125b0342d3008\2.wav,15.0
train\mix\06e5d9f4200641b3bf8feed6c5cdbb9d\mix.wav,train\source\06e5d9f4200641b3bf8feed6c5cdbb9d\1.wav,train\source\06e5d9f4200641b3bf8feed6c5cdbb9d\2.wav,15.0
train\mix\078a3c121c954ff3b78a5c0cd3e92c57\mix.wav,train\source\078a3c121c954ff3b78a5c0cd3e92c57\1.wav,train\source\078a3c121c954ff3b78a5c0cd3e92c57\2.wav,15.0
train\mix\078bb419b9a740d5b92bb8712e0a949a\mix.wav,train\source\078bb419b9a740d5b92bb8712e0a949a\1.wav,train\source\078bb419b9a740d5b92bb8712e0a949a\2.wav,15.0
train\mix\07a240c8ed0f49cfae0c048be2041b4a\mix.wav,train\source\07a240c8ed0f49cfae0c048be2041b4a\1.wav,train\source\07a240c8ed0f49cfae0c048be2041b4a\2.wav,15.0
train\mix\07ace2e8dc68411f8bbef446f40d6fb8\mix.wav,train\source\07ace2e8dc68411f8bbef446f40d6fb8\1.wav,train\source\07ace2e8dc68411f8bbef446f40d6fb8\2.wav,15.0
train\mix\08498a61202345d484a248d5a0bba02d\mix.wav,train\source\08498a61202345d484a248d5a0bba02d\1.wav,train\source\08498a61202345d484a248d5a0bba02d\2.wav,15.0
train\mix\0890709be5ff4bf08650d2ea47e78dff\mix.wav,train\source\0890709be5ff4bf08650d2ea47e78dff\1.wav,train\source\0890709be5ff4bf08650d2ea47e78dff\2.wav,15.0
train\mix\08cb0381a4144a7495bc60d28b78eea5\mix.wav,train\source\08cb0381a4144a7495bc60d28b78eea5\1.wav,train\source\08cb0381a4144a7495bc60d28b78eea5\2.wav,15.0
train\mix\08d13cd8184b475cacb563d67ef50d51\mix.wav,train\source\08d13cd8184b475cacb563d67ef50d51\1.wav,train\source\08d13cd8184b475cacb563d67ef50d51\2.wav,15.0
train\mix\08dd956e5d51442c9abee1ee8a29e5b0\mix.wav,train\source\08dd956e5d51442c9abee1ee8a29e5b0\1.wav,train\source\08dd956e5d51442c9abee1ee8a29e5b0\2.wav,15.0
train\mix\08f7e81548284cf584e410f6734d4959\mix.wav,train\source\08f7e81548284cf584e410f6734d4959\1.wav,train\source\08f7e81548284cf584e410f6734d4959\2.wav,15.0
train\mix\092386b4133b45cbafd397f77172bfc0\mix.wav,train\source\092386b4133b45cbafd397f77172bfc0\1.wav,train\source\092386b4133b45cbafd397f77172bfc0\2.wav,15.0
train\mix\092d4fede9584cd4abcf5207c03de481\mix.wav,train\source\092d4fede9584cd4abcf5207c03de481\1.wav,train\source\092d4fede9584cd4abcf5207c03de481\2.wav,15.0
train\mix\09389f686b634dc485a5ef0a4d433d6b\mix.wav,train\source\09389f686b634dc485a5ef0a4d433d6b\1.wav,train\source\09389f686b634dc485a5ef0a4d433d6b\2.wav,15.0
train\mix\094f45f7b51e490486aaedf22263441e\mix.wav,train\source\094f45f7b51e490486aaedf22263441e\1.wav,train\source\094f45f7b51e490486aaedf22263441e\2.wav,15.0
train\mix\096d3bea8aaa4f02be8f89462f3a02ad\mix.wav,train\source\096d3bea8aaa4f02be8f89462f3a02ad\1.wav,train\source\096d3bea8aaa4f02be8f89462f3a02ad\2.wav,15.0
train\mix\0997c6c081454212945dacefbbce42a3\mix.wav,train\source\0997c6c081454212945dacefbbce42a3\1.wav,train\source\0997c6c081454212945dacefbbce42a3\2.wav,15.0
train\mix\09f3096b8bc8434b81781e3ec03d315a\mix.wav,train\source\09f3096b8bc8434b81781e3ec03d315a\1.wav,train\source\09f3096b8bc8434b81781e3ec03d315a\2.wav,15.0
train\mix\09f6347fa288411c9e203d322ebe8172\mix.wav,train\source\09f6347fa288411c9e203d322ebe8172\1.wav,train\source\09f6347fa288411c9e203d322ebe8172\2.wav,15.0
